Date,Open,High,Low,Close,Volume,Return,RVOL,MA5,MA20,TrendDiff,Trend,Support,Resistance,PricePosition,Breakout,Breakdown,Confidence,Label
2021-02-24,6825.0,6835.0,6725.0,6725.0,71869000,-0.0146520146520146,0.9607516077640558,6780.0,6845.25,-0.009532157335378547,Sideways,6595.0,7055.0,0.2826086956521739,0,0,Low,Distribusi
2021-02-25,6740.0,6770.0,6680.0,6705.0,78688000,-0.0029739776951672736,1.0656067656712602,6774.0,6841.0,-0.009793889782195586,Sideways,6595.0,7055.0,0.2391304347826087,0,0,Low,Distribusi
2021-02-26,6705.0,6810.0,6645.0,6710.0,173631500,0.0007457121551082135,2.2463890930167567,6751.0,6831.5,-0.011783649271755837,Downtrend,6595.0,7055.0,0.25,0,0,High,Distribusi
2021-03-01,6830.0,7045.0,6800.0,7045.0,205539000,0.049925484351713845,2.5396372343964733,6802.0,6845.75,-0.0063908264251542925,Sideways,6595.0,7055.0,0.9782608695652174,0,0,High,Distribusi
2021-03-02,7120.0,7160.0,7000.0,7015.0,81446500,-0.004258339247693366,1.0264429105601507,6840.0,6855.5,-0.002260958354605791,Sideways,6645.0,7160.0,0.7184466019417476,0,0,Low,Distribusi
2021-03-03,7065.0,7085.0,7000.0,7000.0,84470000,-0.002138275124732747,1.066072651204175,6895.0,6865.5,0.004296846551598572,Sideways,6645.0,7160.0,0.6893203883495146,0,0,Low,Distribusi
2021-03-04,6905.0,7000.0,6720.0,6720.0,120802500,-0.040000000000000036,1.4748140725848664,6898.0,6860.25,0.0055027149156371856,Sideways,6645.0,7160.0,0.14563106796116504,0,0,Medium,Akumulasi
2021-03-05,6720.0,6925.0,6720.0,6800.0,111871500,0.011904761904761862,1.340478783076787,6916.0,6857.5,0.008530805687203791,Sideways,6645.0,7160.0,0.30097087378640774,0,0,Medium,Akumulasi
2021-03-08,6950.0,6950.0,6720.0,6720.0,90883000,-0.0117647058823529,1.0639492837924887,6851.0,6847.75,0.00047460844803037496,Sideways,6645.0,7160.0,0.14563106796116504,0,0,Low,Akumulasi
2021-03-09,6700.0,6715.0,6600.0,6605.0,135582000,-0.017113095238095233,1.5078182581997808,6769.0,6832.0,-0.009221311475409836,Sideways,6600.0,7160.0,0.008928571428571428,0,1,High,Akumulasi
2021-03-10,6720.0,6720.0,6620.0,6705.0,50302000,0.01514004542013625,0.5673858061619822,6710.0,6818.25,-0.01587650790158765,Downtrend,6600.0,7160.0,0.1875,0,0,Low,Akumulasi
2021-03-12,6875.0,6880.0,6715.0,6765.0,74328000,0.008948545861297452,0.8247404377799649,6719.0,6810.5,-0.013435136920930915,Downtrend,6600.0,7160.0,0.29464285714285715,0,0,Low,Akumulasi
2021-03-15,6815.0,6820.0,6665.0,6665.0,57416000,-0.014781966001478186,0.6299247153511784,6692.0,6799.75,-0.015846170815103495,Downtrend,6600.0,7160.0,0.11607142857142858,0,0,Low,Akumulasi
2021-03-16,6710.0,6710.0,6620.0,6625.0,70755500,-0.006001500375093727,0.7819231216586091,6673.0,6791.0,-0.017375938742453245,Downtrend,6600.0,7160.0,0.044642857142857144,0,0,Low,Akumulasi
